,Year,Movie,Time,Gener,star,Metascore,Votes,Gross_earning,Director
183,2004,Harry Potter and the Prisoner of Azkaban,142,"Adventure,",7.9,82,649318,249.36,Alfonso Cuarón
184,2007,Transformers,144,"Action,",7.0,61,647129,319.25,Michael Bay
185,1993,Groundhog Day,101,"Comedy,",8.1,72,644901,70.91,Harold Ramis
186,2009,Sherlock Holmes,128,"Action,",7.6,57,643941,209.03,Guy Ritchie
187,2000,American Psycho,102,"Crime,",7.6,64,643843,15.07,Mary Harron
188,2017,Star Wars: Episode VIII - The Last Jedi,152,"Action,",6.9,84,642065,620.18,Rian Johnson
189,2014,Birdman or (The Unexpected Virtue of Ignorance),119,"Comedy,",7.7,87,641221,42.34,Alejandro G. Iñárritu
190,2005,Harry Potter and the Goblet of Fire,157,"Adventure,",7.7,81,640951,290.01,Mike Newell
191,2007,The Bourne Ultimatum,115,"Action,",8.0,85,640892,227.47,Paul Greengrass
192,2012,Life of Pi,127,"Adventure,",7.9,79,640801,124.99,Ang Lee
193,2019,Frozen,102,"Animation,",7.4,75,634879,400.74,"Chris Buck, "
194,2007,Into the Wild,148,"Adventure,",8.1,73,631075,18.35,Sean Penn
195,2019,Get Out,104,"Horror,",7.7,85,630746,176.04,Jordan Peele
196,2013,Her,126,"Drama,",8.0,91,628319,25.57,Spike Jonze
197,1995,Twelve Monkeys,129,"Mystery,",8.0,74,625913,57.14,Terry Gilliam
198,2012,Ted,106,Comedy,6.9,62,624911,218.82,Seth MacFarlane
199,2000,X-Men,104,"Action,",7.3,64,623667,157.3,Bryan Singer
200,2012,Argo,120,"Biography,",7.7,86,621503,136.03,Ben Affleck
201,2019,Prometheus,124,"Adventure,",7.0,64,617939,126.48,Ridley Scott
202,1975,Jaws,124,"Adventure,",8.1,87,617742,260.0,Steven Spielberg
203,2015,The Hateful Eight,168,"Crime,",7.8,68,616379,54.12,Quentin Tarantino
204,2019,Taken,90,"Action,",7.8,51,611062,145.0,Pierre Morel
205,2019,1917,119,"Action,",8.2,78,610331,159.23,Sam Mendes
206,2009,Star Trek,127,"Action,",7.9,82,608230,257.73,J.J. Abrams
207,2016,La La Land,128,"Comedy,",8.0,94,606835,151.1,Damien Chazelle
208,2000,Cast Away,143,"Adventure,",7.8,73,603882,233.63,Robert Zemeckis
209,2003,The Matrix Reloaded,138,"Action,",7.2,62,603635,281.49,"Lana Wachowski, "
210,2007,Spider-Man 3,139,"Action,",6.3,59,601926,336.53,Sam Raimi
211,1990,Home Alone,103,"Comedy,",7.7,63,600230,285.76,Chris Columbus
212,2007,There Will Be Blood,158,Drama,8.2,93,596847,40.22,Paul Thomas Anderson
213,2018,Deadpool 2,119,"Action,",7.7,66,596558,324.59,David Leitch
214,2007,Harry Potter and the Order of the Phoenix,138,"Action,",7.5,71,595489,292.0,David Yates
215,2007,Superbad,113,Comedy,7.6,76,593874,121.46,Greg Mottola
216,2017,Blade Runner 2049,164,"Action,",8.0,81,592642,92.05,Denis Villeneuve
217,1976,Rocky,120,"Drama,",8.1,70,591478,117.24,John G. Avildsen
218,1998,"Lock, Stock and Two Smoking Barrels",107,"Action,",8.2,66,590749,3.9,Guy Ritchie
219,1999,Toy Story 2,92,"Animation,",7.9,88,590706,245.85,"John Lasseter, "
220,2003,Oldeuboi,101,"Action,",8.4,77,589855,0.71,Park Chan-wook
221,1997,L.A. Confidential,138,"Crime,",8.2,91,589399,64.62,Curtis Hanson
222,2009,Zombieland,88,"Action,",7.6,73,589339,75.59,Ruben Fleischer
223,2001,Ocean's Eleven,116,"Crime,",7.7,74,586021,183.42,Steven Soderbergh
224,2019,Limitless,105,"Sci-Fi,",7.4,59,584414,79.25,Neil Burger
225,2012,Looper,119,"Action,",7.4,84,583971,66.49,Rian Johnson
226,2004,The Notebook,123,"Drama,",7.8,53,583431,81.0,Nick Cassavetes
227,1996,Independence Day,145,"Action,",7.0,59,583082,306.17,Roland Emmerich
228,1997,Men in Black,98,"Action,",7.3,71,579241,250.69,Barry Sonnenfeld
229,1942,Casablanca,102,"Drama,",8.5,100,579201,1.02,Michael Curtiz
230,2019,Captain Marvel,123,"Action,",6.8,64,572512,426.83,"Anna Boden, "
231,2010,Kick-Ass,117,"Action,",7.6,66,571465,48.07,Matthew Vaughn
232,2012,21 Jump Street,109,"Action,",7.2,69,569473,138.45,"Phil Lord, "
233,2004,Shaun of the Dead,99,"Comedy,",7.9,76,566910,13.54,Edgar Wright
234,2014,Nightcrawler,117,"Crime,",7.8,65,562313,32.38,Dan Gilroy
235,2010,Harry Potter and the Deathly Hallows: Part 1,146,"Adventure,",7.7,69,562215,295.98,David Yates
236,2019,It,135,Horror,7.3,80,561946,327.48,Andy Muschietti
237,2002,Minority Report,145,"Action,",7.6,56,561512,132.07,Steven Spielberg
238,2009,Watchmen,162,"Action,",7.6,64,559630,107.51,Zack Snyder
239,2006,Blood Diamond,143,"Adventure,",8.0,55,559510,57.37,Edward Zwick
240,2013,The Great Gatsby,143,"Drama,",7.2,78,559289,144.84,Baz Luhrmann
241,2009,Harry Potter and the Half-Blood Prince,153,"Action,",7.6,68,558623,301.96,David Yates
242,2003,X2,134,"Action,",7.4,86,557666,214.95,Bryan Singer
243,2017,Baby Driver,113,"Action,",7.6,72,557518,107.83,Edgar Wright
244,2010,Despicable Me,95,"Animation,",7.6,78,556220,251.51,"Pierre Coffin, "
245,2014,Ex Machina,108,"Drama,",7.7,79,555986,25.44,Alex Garland
246,2007,Zodiac,157,"Crime,",7.7,78,555384,33.08,David Fincher
247,2022,Top Gun: Maverick,130,"Action,",8.3,68,555252,718.73,Joseph Kosinski
248,2002,The Bourne Identity,119,"Action,",7.9,49,554512,121.66,Doug Liman
249,2004,"I, Robot",115,"Action,",7.1,49,550270,144.8,Alex Proyas
250,2018,Bohemian Rhapsody,134,"Biography,",7.9,87,550064,216.43,Bryan Singer
251,2018,Spider-Man: Into the Spider-Verse,117,"Animation,",8.4,91,549127,190.24,"Bob Persichetti, "
252,1975,Monty Python and the Holy Grail,91,"Adventure,",8.2,56,548227,1.23,"Terry Gilliam, "
253,2004,Troy,163,Drama,7.3,59,544222,133.38,Wolfgang Petersen
254,2014,The Hobbit: The Battle of the Five Armies,144,"Adventure,",7.4,82,543211,255.12,Peter Jackson
255,2018,A Quiet Place,90,"Drama,",7.5,57,543138,188.02,John Krasinski
256,1989,Back to the Future Part II,108,"Adventure,",7.8,71,543077,118.5,Robert Zemeckis
257,2016,Hacksaw Ridge,139,"Biography,",8.1,45,541356,67.21,Mel Gibson
258,2011,Pirates of the Caribbean: On Stranger Tides,137,"Action,",6.6,68,537168,241.06,Rob Marshall
259,2011,Rise of the Planet of the Apes,105,"Action,",7.6,54,536500,176.76,Rupert Wyatt
260,2019,Oblivion,124,"Action,",7.0,81,534567,89.02,Joseph Kosinski
261,2007,Juno,96,"Comedy,",7.5,68,529831,143.5,Jason Reitman
262,2011,"Crazy, Stupid, Love.",118,"Comedy,",7.4,73,529693,84.35,"Glenn Ficarra, "
263,1995,Casino,178,"Crime,",8.2,74,529521,42.44,Martin Scorsese
264,2011,Source Code,93,"Action,",7.5,76,528120,54.71,Duncan Jones
265,2009,(500) Days of Summer,95,"Comedy,",7.7,64,526038,32.39,Marc Webb
266,2006,The Pursuit of Happyness,117,"Biography,",8.0,81,524906,163.57,Gabriele Muccino
267,2019,Coco,105,"Animation,",8.4,58,524313,209.73,"Lee Unkrich, "
268,2006,X-Men: The Last Stand,104,"Action,",6.6,65,523866,234.36,Brett Ratner
269,1988,Rain Man,133,Drama,8.0,67,522946,178.8,Barry Levinson
270,2012,The Perks of Being a Wallflower,103,Drama,7.9,69,522044,17.74,Stephen Chbosky
271,2020,Tenet,150,"Action,",7.3,47,522043,58.46,Christopher Nolan
272,2003,The Matrix Revolutions,129,"Action,",6.7,88,521222,139.31,"Lana Wachowski, "
273,2017,"Three Billboards Outside Ebbing, Missouri",115,"Comedy,",8.1,68,520218,54.51,Martin McDonagh
274,2013,The Conjuring,112,"Horror,",7.5,81,519498,137.4,James Wan
275,2007,Hot Fuzz,121,"Action,",7.8,40,513343,23.64,Edgar Wright
276,2009,X-Men Origins: Wolverine,107,"Action,",6.5,62,512425,179.88,Gavin Hood
277,2019,Split,117,"Horror,",7.3,78,511930,138.29,M. Night Shyamalan
278,2016,Zootopia,108,"Animation,",8.0,65,510322,341.27,"Byron Howard, "
279,2013,Pacific Rim,131,"Action,",6.9,44,509721,101.8,Guillermo del Toro
280,2011,The Hangover Part II,102,Comedy,6.5,69,509719,254.46,Todd Phillips
281,2018,Green Book,130,"Biography,",8.2,53,509433,85.08,Peter Farrelly
282,2014,The Amazing Spider-Man 2,142,"Action,",6.6,84,507885,202.85,Marc Webb
283,2006,Children of Men,109,"Action,",7.9,69,507855,35.55,Alfonso Cuarón
284,2019,Spider-Man: Far from Home,129,"Action,",7.4,55,507525,390.53,Jon Watts
285,2005,Mr. & Mrs. Smith,120,"Action,",6.5,61,507006,186.34,Doug Liman
286,2019,Lucy,89,"Action,",6.4,64,506591,126.66,Luc Besson
287,2014,Fury,134,"Action,",7.5,79,505597,85.82,David Ayer
288,1989,Dead Poets Society,128,"Comedy,",8.1,55,503132,95.86,Peter Weir
289,2003,Love Actually,135,"Comedy,",7.6,61,501568,59.7,Richard Curtis
290,2008,The Incredible Hulk,112,"Action,",6.6,74,501180,134.52,Louis Leterrier
291,1990,Edward Scissorhands,105,"Drama,",7.9,57,499464,56.36,Tim Burton
292,1984,Indiana Jones and the Temple of Doom,118,"Action,",7.5,100,498679,179.87,Steven Spielberg
293,1954,Rear Window,112,"Mystery,",8.5,73,498229,36.76,Alfred Hitchcock
294,2011,Mission: Impossible - Ghost Protocol,132,"Action,",7.4,30,498170,209.4,Brad Bird
295,2004,The Butterfly Effect,113,"Drama,",7.6,72,498049,57.94,"Eric Bress, "
296,2014,American Sniper,133,"Action,",7.3,35,497925,350.13,Clint Eastwood
297,2018,Venom,112,"Action,",6.6,97,497879,213.52,Ruben Fleischer
298,1964,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,95,"Comedy,",8.4,77,496896,0.28,Stanley Kubrick
299,2013,Dallas Buyers Club,117,"Biography,",7.9,72,496847,27.3,Jean-Marc Vallée
300,2005,Charlie and the Chocolate Factory,115,"Adventure,",6.7,61,492406,206.46,Tim Burton
301,2002,Ice Age,81,"Animation,",7.5,49,492341,176.39,"Chris Wedge, "
302,2008,Hancock,92,"Action,",6.4,80,491358,227.95,Peter Berg
303,2006,Little Miss Sunshine,101,"Comedy,",7.8,72,491029,59.89,"Jonathan Dayton, "
304,2013,Star Trek Into Darkness,132,"Action,",7.7,74,487596,228.78,J.J. Abrams
305,2019,Rush,123,"Action,",8.1,90,487316,26.95,Ron Howard
306,2013,American Hustle,138,"Crime,",7.2,55,485650,150.12,David O. Russell
307,2018,Aquaman,143,"Action,",6.8,66,485133,335.06,James Wan
308,2016,Fantastic Beasts and Where to Find Them,132,"Adventure,",7.2,74,484704,234.04,David Yates
309,2008,Kung Fu Panda,92,"Animation,",7.6,52,483001,215.43,"Mark Osborne, "
310,1997,The Fifth Element,126,"Action,",7.6,71,482110,63.54,Luc Besson
311,2011,Warrior,140,"Action,",8.2,57,478978,13.66,Gavin O'Connor
312,2014,The Maze Runner,113,"Action,",6.8,93,478518,102.43,Wes Ball
313,2019,Spotlight,129,"Biography,",8.1,75,478217,45.06,Tom McCarthy
314,2004,Shrek 2,93,"Animation,",7.3,61,475988,436.47,"Andrew Adamson, "
315,2013,The Wolverine,126,"Action,",6.7,74,474307,132.56,James Mangold
316,2014,Big Hero 6,102,"Animation,",7.8,71,471226,222.53,"Don Hall, "
317,2011,The Girl with the Dragon Tattoo,158,"Crime,",7.8,73,471024,102.52,David Fincher
